GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2020-08-19T05:00:00Z,11118.40,6152.60,0.00,675.00,10711.97,1952.00,140.00,7.00,17754.88,0.00,44.20
2020-08-19T06:00:00Z,10853.40,6347.60,0.00,671.00,9866.00,1952.00,140.00,7.00,17766.61,0.00,44.20
2020-08-19T07:00:00Z,10753.40,6305.08,0.00,671.00,10061.10,1952.00,140.00,7.00,17596.85,0.00,44.20
2020-08-19T08:00:00Z,10642.20,6410.60,0.00,657.67,10094.68,1952.00,140.00,7.00,17509.84,0.00,44.20
2020-08-19T09:00:00Z,10642.20,6410.60,0.00,651.00,10300.90,1952.00,140.00,7.00,17393.03,0.00,44.20
2020-08-19T10:00:00Z,10807.20,6289.80,0.00,658.00,10801.52,1952.00,140.00,7.00,17208.05,0.00,44.20
2020-08-19T11:00:00Z,10807.20,6298.80,0.00,1055.50,11291.31,1952.00,140.00,7.00,17103.10,0.00,44.20
2020-08-19T12:00:00Z,10867.70,6285.60,0.00,1247.00,12356.78,1952.00,144.50,6.17,16921.68,0.00,44.20
2020-08-19T13:00:00Z,10886.70,6241.60,0.00,1397.25,13218.03,1952.00,174.50,6.33,16432.59,0.00,44.20
2020-08-19T14:00:00Z,10555.20,6292.10,0.00,1550.50,13518.13,1952.00,200.40,7.00,16252.73,0.00,44.20
2020-08-19T15:00:00Z,10555.20,6360.60,0.00,1857.00,14130.17,1952.00,208.00,7.00,16373.88,0.00,44.40
2020-08-19T16:00:00Z,10555.20,6414.35,0.00,1919.08,14867.35,1952.00,204.60,7.00,16258.13,0.00,44.40
2020-08-19T17:00:00Z,10555.20,7022.10,0.00,1992.75,15613.48,1952.00,205.70,7.00,16285.05,0.00,44.40
2020-08-19T18:00:00Z,10546.20,7022.10,0.00,2037.67,16706.59,1952.00,204.50,7.00,16110.85,0.00,44.40
2020-08-19T19:00:00Z,10546.20,7022.10,0.00,2353.50,17617.95,1952.00,204.60,7.00,16241.44,0.00,44.40
2020-08-19T20:00:00Z,11209.20,6359.10,30.33,2296.00,18204.52,1952.00,205.90,7.00,16408.32,0.00,44.40
2020-08-19T21:00:00Z,11209.20,6359.10,52.00,2286.00,19074.50,1952.00,202.30,7.00,16436.26,0.00,44.40
2020-08-19T22:00:00Z,11209.20,6359.10,30.33,2194.00,18656.26,1952.00,197.16,6.17,16541.15,0.00,44.40
2020-08-19T23:00:00Z,11209.20,6358.40,0.00,2030.92,18183.39,1952.00,182.20,7.00,16715.23,0.00,44.40
2020-08-20T00:00:00Z,11212.95,6351.07,0.00,1669.88,16566.57,1952.00,155.08,7.00,17099.66,0.00,44.40
2020-08-20T01:00:00Z,11214.20,6344.40,0.00,1510.50,14633.78,1952.00,141.07,7.00,17510.38,0.00,44.40
2020-08-20T02:00:00Z,11277.40,6340.40,0.00,1174.83,13479.47,1952.00,140.00,7.00,17863.74,0.00,44.20
2020-08-20T03:00:00Z,11277.40,6293.40,0.00,853.02,12278.03,1952.00,140.00,7.00,18057.07,0.00,44.20
2020-08-20T04:00:00Z,11277.40,6305.40,0.00,698.00,10911.42,1952.00,140.00,7.00,18157.18,0.00,44.20
