GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2019-10-17T05:00:00Z,3745.00,7825.20,0.00,1784.27,7352.05,813.00,140.00,10.20,16934.52,0.00,26.50
2019-10-17T06:00:00Z,3745.00,7126.62,0.00,1749.60,6548.13,813.00,140.00,10.20,17102.21,0.00,26.50
2019-10-17T07:00:00Z,3745.00,6529.20,0.00,1749.60,6170.80,813.00,140.00,10.20,17151.63,0.00,26.50
2019-10-17T08:00:00Z,3745.00,6529.20,0.00,1749.60,6174.80,813.00,140.00,10.20,17294.10,0.00,26.50
2019-10-17T09:00:00Z,3745.00,6532.20,0.00,1749.60,6053.54,813.00,140.00,10.20,17252.29,0.00,26.50
2019-10-17T10:00:00Z,3745.00,6536.20,0.00,1964.52,6289.00,813.00,140.00,10.20,17226.55,0.00,26.50
2019-10-17T11:00:00Z,3745.00,6720.20,0.00,2163.93,6914.08,813.00,140.00,10.20,17169.26,0.00,26.50
2019-10-17T12:00:00Z,3745.00,6707.20,0.00,2197.43,7161.58,813.00,140.00,10.20,17006.33,0.00,26.50
2019-10-17T13:00:00Z,3745.00,6708.20,1.17,2318.60,7297.67,813.00,144.42,10.20,16860.42,0.00,26.50
2019-10-17T14:00:00Z,3784.33,6709.20,2.80,2386.43,7757.22,813.00,181.30,10.20,16657.52,0.00,26.50
2019-10-17T15:00:00Z,3804.00,6709.20,2.80,2382.60,8076.86,813.00,194.20,10.20,16334.73,0.00,26.50
2019-10-17T16:00:00Z,3804.00,6710.20,2.80,2353.43,7955.48,813.00,195.80,10.20,16128.26,0.00,26.50
2019-10-17T17:00:00Z,4297.58,6108.20,2.80,2187.60,7812.80,813.00,195.80,10.20,16224.08,0.00,26.50
2019-10-17T18:00:00Z,4183.00,6087.20,2.80,2175.93,7780.22,813.00,195.00,10.20,16594.08,0.00,26.50
2019-10-17T19:00:00Z,4076.00,6013.20,5.47,2189.10,7574.10,813.00,195.20,10.20,17055.07,0.00,26.50
2019-10-17T20:00:00Z,3422.00,6666.20,0.00,2195.60,7005.93,813.00,195.10,10.20,17564.15,0.00,26.50
2019-10-17T21:00:00Z,3422.00,6640.12,0.00,2185.60,6017.82,813.00,192.70,10.20,17916.40,0.00,26.50
2019-10-17T22:00:00Z,3422.00,6587.20,0.00,2209.27,5816.72,813.00,181.80,10.20,18101.02,0.00,26.50
2019-10-17T23:00:00Z,3422.00,6095.70,0.00,2150.60,5346.05,813.00,153.75,10.20,18296.36,0.00,26.50
2019-10-18T00:00:00Z,3422.00,5941.53,0.00,2212.93,4955.05,813.00,140.18,10.20,18533.50,0.00,26.50
2019-10-18T01:00:00Z,3422.00,5982.20,0.00,2072.60,4853.43,813.00,140.00,10.20,18606.18,0.00,26.50
2019-10-18T02:00:00Z,3422.00,6030.20,0.00,2053.18,4682.05,813.00,140.00,10.20,18747.03,0.00,26.50
2019-10-18T03:00:00Z,3422.00,6038.20,0.00,1945.60,4617.83,813.00,140.00,8.00,18655.78,0.00,26.50
2019-10-18T04:00:00Z,3422.00,6086.20,0.00,1769.60,4646.62,813.00,140.00,7.00,18334.08,0.00,26.50
