GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2018-07-15T05:00:00Z,5288.00,15351.90,80.00,1572.67,12469.55,1962.10,140.19,11.00,12724.56,0.00,31.50
2018-07-15T06:00:00Z,5038.00,15259.77,80.00,1670.00,12378.64,1962.10,140.00,11.00,12773.30,0.00,31.50
2018-07-15T07:00:00Z,5038.00,15128.30,80.00,1670.00,12386.29,1962.10,140.00,11.00,12702.11,0.00,31.50
2018-07-15T08:00:00Z,5388.00,15126.30,80.00,1669.17,12396.53,1962.10,140.06,11.00,12570.56,0.00,31.50
2018-07-15T09:00:00Z,5538.00,15213.30,80.00,1673.38,12400.74,1962.10,140.00,11.00,12366.44,0.00,31.50
2018-07-15T10:00:00Z,5538.00,15238.30,80.00,1674.60,12376.63,1962.10,140.00,11.00,12024.13,0.00,31.50
2018-07-15T11:00:00Z,5540.00,15246.90,80.00,1744.27,12567.53,1962.10,140.00,11.00,11539.78,0.00,31.50
2018-07-15T12:00:00Z,5540.00,15342.90,80.00,1802.10,13039.03,1962.10,143.03,11.00,11275.63,0.00,31.50
2018-07-15T13:00:00Z,5466.67,15371.90,80.00,1856.60,13749.41,1962.10,158.76,11.00,11054.02,0.00,31.50
2018-07-15T14:00:00Z,5296.83,15467.50,80.70,1923.60,14303.53,1962.10,183.60,10.33,10593.42,0.00,31.50
2018-07-15T15:00:00Z,5258.33,15483.70,82.80,2008.77,15296.28,1962.10,197.00,9.50,10179.70,0.00,31.50
2018-07-15T16:00:00Z,5290.00,15493.70,82.80,2026.93,16927.58,1962.10,198.60,11.00,9619.01,0.00,31.50
2018-07-15T17:00:00Z,5352.50,15488.70,82.80,1958.98,17952.03,1962.10,199.60,11.00,10415.15,0.00,31.50
2018-07-15T18:00:00Z,5540.00,15450.78,82.80,1894.58,18529.43,1962.10,200.00,11.00,10653.47,0.00,31.50
2018-07-15T19:00:00Z,5470.00,15418.70,84.08,1920.80,18949.46,1962.10,199.30,11.00,10946.27,0.00,31.50
2018-07-15T20:00:00Z,5459.00,15459.00,87.90,2044.80,19233.44,1962.10,195.60,11.00,11121.45,0.00,31.50
2018-07-15T21:00:00Z,5459.00,15427.12,87.90,2174.63,19329.96,1962.10,185.70,11.00,11350.26,0.00,31.50
2018-07-15T22:00:00Z,5224.00,15423.70,87.90,2210.05,19416.91,1962.10,181.20,11.00,11405.26,0.00,31.50
2018-07-15T23:00:00Z,5224.00,15413.70,83.65,2116.80,18916.42,1962.10,171.80,11.00,11437.34,0.00,31.50
2018-07-16T00:00:00Z,5224.00,15413.70,82.80,1951.80,18233.13,1962.10,157.51,11.00,11304.58,0.00,31.50
2018-07-16T01:00:00Z,5224.00,15413.70,82.80,1904.80,17072.46,1962.10,141.93,11.00,11111.88,0.00,31.50
2018-07-16T02:00:00Z,5224.00,15428.70,82.57,1882.63,15663.13,1962.10,140.06,11.00,11072.25,0.00,31.50
2018-07-16T03:00:00Z,5224.00,15428.70,80.00,1782.53,14368.99,1962.10,140.00,11.00,11159.09,0.00,31.50
2018-07-16T04:00:00Z,5224.00,15280.70,80.00,1683.90,13782.19,1962.10,140.04,11.00,11525.75,0.00,31.50
