GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2020-01-09T06:00:00Z,3444.00,6432.23,0.00,910.00,7056.74,2038.00,140.00,7.00,18225.55,0.00,26.50
2020-01-09T07:00:00Z,3444.00,6434.15,0.00,899.00,7024.73,2038.00,140.00,7.00,18076.68,0.00,26.50
2020-01-09T08:00:00Z,3444.00,6631.90,0.00,898.00,7046.50,2038.00,140.00,7.00,17934.91,0.00,26.50
2020-01-09T09:00:00Z,3444.00,6827.65,0.00,898.00,7687.69,2038.00,140.00,7.00,17741.73,0.00,26.50
2020-01-09T10:00:00Z,3447.75,6840.15,0.00,898.00,8410.33,2038.00,140.00,7.00,17583.80,0.00,26.50
2020-01-09T11:00:00Z,3469.00,7050.40,0.00,948.00,9343.26,2038.00,140.00,7.00,17663.29,0.00,26.50
2020-01-09T12:00:00Z,3614.00,7009.90,0.00,1557.58,10400.36,2038.00,140.00,7.00,17744.37,0.00,26.50
2020-01-09T13:00:00Z,3707.25,7104.90,0.00,1710.33,11149.78,2038.00,140.00,7.00,17919.39,0.00,26.50
2020-01-09T14:00:00Z,3854.42,7194.90,21.67,1723.00,11152.87,2038.00,142.64,7.00,17676.47,0.00,22.38
2020-01-09T15:00:00Z,4277.00,6547.98,10.00,1612.00,11139.27,2038.00,177.80,7.00,17403.68,0.00,25.58
2020-01-09T16:00:00Z,4277.00,6894.90,5.00,1727.83,11088.72,2038.00,187.00,7.00,16965.42,0.00,26.50
2020-01-09T17:00:00Z,4277.00,6904.90,5.00,1652.67,10958.50,2038.00,186.30,7.00,16744.92,0.00,25.13
2020-01-09T18:00:00Z,4750.00,6539.90,5.00,1592.67,10929.80,2038.00,183.10,7.00,16526.80,0.00,24.21
2020-01-09T19:00:00Z,4750.00,6524.57,0.83,1642.33,10875.83,2038.00,183.10,7.00,16453.93,0.00,26.50
2020-01-09T20:00:00Z,4750.00,6442.90,10.00,1584.00,10943.66,2038.00,184.50,7.00,16039.33,0.00,26.50
2020-01-09T21:00:00Z,4750.00,6461.90,0.00,1600.50,10986.85,2038.00,185.50,7.00,15440.74,0.00,26.50
2020-01-09T22:00:00Z,4761.00,6461.90,0.00,1769.58,11499.48,2038.00,176.30,7.00,14914.14,0.00,26.50
2020-01-09T23:00:00Z,4750.00,6461.90,0.00,2165.67,12038.37,2038.00,145.67,7.00,14411.95,0.00,26.50
2020-01-10T00:00:00Z,4745.00,6546.23,0.00,2134.88,12059.71,2038.00,140.00,7.00,14430.78,0.00,26.50
2020-01-10T01:00:00Z,4735.00,6553.90,0.00,1982.00,11737.94,2038.00,140.00,7.00,14856.37,0.00,26.50
2020-01-10T02:00:00Z,4746.00,6552.90,0.00,1982.00,11733.72,2038.00,140.00,7.00,15397.77,0.00,26.50
2020-01-10T03:00:00Z,4746.00,6546.90,0.00,1632.00,11624.33,2038.00,140.00,7.00,15631.13,0.00,26.50
2020-01-10T04:00:00Z,4746.00,6486.90,0.00,1098.63,11210.27,2038.00,140.00,7.00,15608.36,0.00,26.50
2020-01-10T05:00:00Z,4746.00,6386.90,0.00,1011.83,11187.55,2038.00,140.00,7.00,15437.98,0.00,26.50
