GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2020-04-08T05:00:00Z,3225.00,6314.57,0.00,922.36,9451.60,2033.40,140.00,11.00,15549.25,0.00,41.50
2020-04-08T06:00:00Z,3225.00,6354.15,0.00,876.50,9014.34,2033.40,140.00,11.00,15586.28,0.00,41.50
2020-04-08T07:00:00Z,3225.00,6366.90,0.00,869.00,9008.20,2033.40,140.00,11.00,15763.98,0.00,41.50
2020-04-08T08:00:00Z,3225.00,6367.90,0.00,869.00,9026.20,2033.40,140.00,11.00,15720.95,0.00,41.50
2020-04-08T09:00:00Z,3749.00,5844.90,0.00,949.00,9124.86,2033.40,140.00,11.00,15917.39,0.00,40.65
2020-04-08T10:00:00Z,3749.00,5845.90,0.00,995.00,9253.98,2033.40,140.00,11.00,15944.58,0.00,36.40
2020-04-08T11:00:00Z,3824.00,5850.90,0.00,1439.33,9647.13,2033.40,140.00,11.00,15993.63,0.00,34.60
2020-04-08T12:00:00Z,3820.00,5557.90,0.00,1694.83,9638.47,2033.40,140.51,11.00,16214.51,0.00,31.00
2020-04-08T13:00:00Z,4125.00,5557.90,0.00,1959.00,9867.58,2033.40,161.71,11.00,16280.75,0.00,31.00
2020-04-08T14:00:00Z,4125.00,5557.90,0.00,2029.00,10062.25,2033.40,202.40,11.00,16126.59,0.00,31.00
2020-04-08T15:00:00Z,4125.00,5526.60,0.00,2029.00,10419.50,2033.40,217.10,11.00,16111.75,0.00,35.05
2020-04-08T16:00:00Z,4073.33,5576.60,0.00,2042.33,10779.58,2033.40,220.90,11.00,16136.09,0.00,36.40
2020-04-08T17:00:00Z,4081.58,5794.60,0.00,2164.00,11203.53,2033.40,222.60,11.00,16207.09,0.00,36.40
2020-04-08T18:00:00Z,4125.92,5826.90,0.00,2175.00,11586.32,2033.40,222.90,11.00,16421.75,0.00,36.40
2020-04-08T19:00:00Z,4129.00,5826.90,0.00,2195.00,11661.10,2033.40,222.50,11.00,16866.34,0.00,36.40
2020-04-08T20:00:00Z,4468.00,5487.90,0.00,2026.67,11885.48,2033.40,220.60,11.00,17137.14,0.00,36.40
2020-04-08T21:00:00Z,4468.00,5487.90,0.00,1871.00,12755.56,2033.40,218.40,11.00,17358.80,0.00,36.40
2020-04-08T22:00:00Z,4468.00,5511.90,0.00,1931.00,12135.38,2033.40,214.40,11.00,17352.43,0.00,36.40
2020-04-08T23:00:00Z,3859.00,6113.90,0.00,2091.00,11969.63,2033.40,199.80,11.51,17333.95,0.00,36.40
2020-04-09T00:00:00Z,3520.00,5985.40,0.00,1960.33,10867.15,2033.40,157.31,8.92,17319.43,0.00,36.40
2020-04-09T01:00:00Z,3180.00,5873.90,0.00,1853.67,10053.85,2033.40,140.23,7.00,17776.84,0.00,36.40
2020-04-09T02:00:00Z,3180.00,5563.07,0.00,1942.00,9207.03,2033.40,140.00,7.00,18281.76,0.00,36.40
2020-04-09T03:00:00Z,2912.00,5469.90,0.00,1291.50,8789.40,2033.40,140.00,7.00,18180.07,0.00,36.40
2020-04-09T04:00:00Z,2912.00,5781.90,0.00,1161.00,8368.73,2033.40,140.00,7.00,17894.52,0.00,36.40
