GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2019-11-11T06:00:00Z,6124.00,8849.90,0.00,1603.00,6243.50,2038.00,140.00,7.00,17292.37,0.00,26.50
2019-11-11T07:00:00Z,6124.00,8848.90,0.00,1601.00,5444.00,2038.00,140.00,7.00,17335.71,0.00,26.50
2019-11-11T08:00:00Z,6124.00,8798.90,0.00,1602.00,5448.00,2038.00,140.00,7.00,17515.40,0.00,26.50
2019-11-11T09:00:00Z,6124.00,8848.90,0.00,1601.00,5495.17,2038.00,140.00,7.00,17602.62,0.00,26.50
2019-11-11T10:00:00Z,6124.00,8849.93,0.00,1602.38,5457.78,2038.00,140.00,7.53,17650.84,0.00,26.50
2019-11-11T11:00:00Z,6124.00,8854.90,0.00,1840.00,6079.36,2038.00,140.00,7.80,17863.58,0.00,26.50
2019-11-11T12:00:00Z,6124.00,8897.90,0.00,2054.25,6922.07,2038.00,140.00,8.60,18012.27,0.00,23.75
2019-11-11T13:00:00Z,6124.00,8982.33,0.00,2081.50,7733.78,2038.00,140.00,8.60,18043.39,0.00,21.00
2019-11-11T14:00:00Z,6124.00,9092.90,0.00,2103.67,7974.85,2038.00,142.97,8.60,17963.60,0.00,21.00
2019-11-11T15:00:00Z,6124.00,9092.90,0.00,2200.01,8156.40,2038.00,152.77,8.60,17856.68,0.00,21.00
2019-11-11T16:00:00Z,6124.00,9092.90,0.00,2164.76,8279.17,2038.00,156.33,8.60,17880.23,0.00,21.00
2019-11-11T17:00:00Z,6124.00,9092.90,0.00,2159.58,9039.13,2038.00,157.75,7.27,18030.34,0.00,21.00
2019-11-11T18:00:00Z,6124.00,9092.90,0.00,2131.16,8379.51,2038.00,158.10,7.27,17746.35,0.00,21.00
2019-11-11T19:00:00Z,6124.00,9092.90,0.00,2052.44,8799.48,2038.00,158.00,8.60,17716.27,0.00,21.00
2019-11-11T20:00:00Z,6124.00,9092.90,0.00,2061.48,9418.62,2038.00,157.90,8.60,17680.81,0.00,21.00
2019-11-11T21:00:00Z,6124.00,9092.90,0.00,2176.22,10051.52,2038.00,156.30,8.27,17835.32,0.00,21.00
2019-11-11T22:00:00Z,6124.00,9187.90,0.00,2230.54,10766.96,2038.00,147.81,8.60,17640.18,0.00,21.00
2019-11-11T23:00:00Z,6124.00,9367.90,0.00,2230.58,11377.42,2038.00,140.47,8.60,17559.04,0.00,21.46
2019-11-12T00:00:00Z,6124.00,9529.57,0.00,2351.64,11769.93,2038.00,140.00,8.60,17247.90,0.00,26.50
2019-11-12T01:00:00Z,6124.00,9747.90,0.00,2230.62,11747.43,2038.00,140.00,8.60,16723.06,0.00,26.50
2019-11-12T02:00:00Z,6124.00,9741.90,0.00,2220.60,11620.75,2038.00,140.00,8.60,16161.68,0.00,26.50
2019-11-12T03:00:00Z,6124.00,9737.90,0.00,2210.35,11394.98,2038.00,140.00,8.60,15468.88,0.00,26.50
2019-11-12T04:00:00Z,6124.00,9698.90,0.00,1935.95,11342.03,2038.00,140.00,8.60,14637.54,0.00,26.50
2019-11-12T05:00:00Z,6524.00,9241.90,0.00,1797.57,11316.68,2038.00,140.00,8.60,14077.72,0.00,26.50
