GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2019-02-25T06:00:00Z,4025.50,13353.00,23.33,562.00,7406.03,2033.00,140.00,11.00,16511.89,0.00,31.50
2019-02-25T07:00:00Z,3885.50,13351.00,23.33,556.00,7346.20,2034.00,140.00,11.00,16608.57,0.00,31.50
2019-02-25T08:00:00Z,3885.50,13255.00,20.00,556.00,7452.28,2034.00,140.00,11.00,16514.97,0.00,31.50
2019-02-25T09:00:00Z,4017.00,12653.00,20.00,565.17,7793.78,2034.00,140.01,11.00,16543.66,0.00,31.50
2019-02-25T10:00:00Z,4205.00,12689.00,20.00,584.33,8077.60,2034.00,140.00,11.00,16627.08,0.00,31.50
2019-02-25T11:00:00Z,4205.00,12628.75,16.33,928.83,8427.60,2034.00,140.00,11.00,16698.24,0.00,31.50
2019-02-25T12:00:00Z,4243.03,12530.80,16.00,1520.17,8795.68,2034.00,140.00,11.00,16673.43,0.00,31.50
2019-02-25T13:00:00Z,4211.70,12549.55,16.00,1585.67,8802.27,2034.00,140.18,11.00,16619.08,0.00,31.50
2019-02-25T14:00:00Z,4245.87,12623.38,16.00,1536.00,9072.78,2034.00,158.08,11.00,16276.57,0.00,31.50
2019-02-25T15:00:00Z,4242.20,12582.88,19.00,1512.67,9057.00,2034.00,184.31,11.00,16116.02,0.00,31.50
2019-02-25T16:00:00Z,4242.20,12518.80,23.63,1435.00,9000.55,2034.00,190.30,11.00,16219.43,0.00,31.50
2019-02-25T17:00:00Z,4242.20,12531.55,21.67,1353.33,7626.08,2034.00,196.78,11.00,16468.64,0.00,31.50
2019-02-25T18:00:00Z,4199.45,12709.33,20.00,1311.67,7118.73,2034.00,200.20,11.00,16430.27,0.00,31.50
2019-02-25T19:00:00Z,4242.20,12670.75,19.33,1258.42,7287.85,2034.00,199.70,11.00,16363.38,0.00,31.50
2019-02-25T20:00:00Z,4242.20,12497.50,16.00,1144.20,7168.67,2034.00,199.70,11.00,16201.23,0.00,31.50
2019-02-25T21:00:00Z,4263.75,12472.00,16.00,1142.20,7100.92,2034.00,200.20,11.00,16022.11,0.00,31.50
2019-02-25T22:00:00Z,4046.10,12473.00,4.00,1067.00,7193.02,2034.00,185.43,10.50,15934.53,0.00,31.50
2019-02-25T23:00:00Z,4046.10,12475.00,0.00,1269.50,7261.47,2034.00,163.69,11.00,15804.73,0.00,31.50
2019-02-26T00:00:00Z,4188.37,12490.00,0.00,1543.00,7524.35,2034.00,140.92,11.00,15832.97,0.00,31.50
2019-02-26T01:00:00Z,4288.50,12490.00,0.00,1543.00,7130.53,2034.00,140.00,11.00,16039.38,0.00,31.50
2019-02-26T02:00:00Z,4288.50,12479.00,0.00,1543.00,6942.93,2034.00,140.00,11.00,15916.84,0.00,31.50
2019-02-26T03:00:00Z,4288.50,12476.00,0.00,1534.67,6870.10,2034.00,140.01,11.00,16278.12,0.00,31.50
2019-02-26T04:00:00Z,4239.50,12455.33,0.00,1118.63,6810.60,2034.00,140.00,11.00,16397.37,0.00,31.50
2019-02-26T05:00:00Z,4258.50,12358.00,0.00,712.90,7020.77,2034.00,140.00,11.00,16105.28,0.00,31.50
