GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2019-02-20T06:00:00Z,1935.50,15842.20,0.00,599.03,11067.28,2038.00,140.00,11.00,12203.85,0.00,31.50
2019-02-20T07:00:00Z,1781.00,15652.20,0.00,585.67,10897.95,2038.00,140.00,11.00,12488.60,0.00,31.50
2019-02-20T08:00:00Z,1786.00,15652.15,0.00,579.00,10937.70,2038.00,140.00,11.00,12356.45,0.00,31.50
2019-02-20T09:00:00Z,1926.00,15628.95,0.00,579.00,10944.70,2038.00,140.11,11.00,12502.48,0.00,31.50
2019-02-20T10:00:00Z,2114.00,15400.20,0.00,579.00,10976.70,2038.00,140.24,11.00,12549.57,0.00,31.50
2019-02-20T11:00:00Z,2114.00,15224.20,0.00,876.67,11221.60,2038.00,140.30,11.00,13133.91,0.00,31.50
2019-02-20T12:00:00Z,2240.92,15400.67,0.00,1707.00,11965.27,2038.00,140.24,11.00,12848.59,0.00,31.50
2019-02-20T13:00:00Z,2308.00,15277.33,0.00,1564.00,12020.77,2038.00,140.26,11.00,12744.17,0.00,31.50
2019-02-20T14:00:00Z,2312.75,15273.50,1.25,1549.00,12017.43,2038.00,158.48,10.20,12737.92,0.00,31.50
2019-02-20T15:00:00Z,2313.00,15303.65,3.00,1548.00,11784.77,2038.00,190.70,10.20,12976.53,0.00,31.50
2019-02-20T16:00:00Z,2268.83,15404.07,14.50,1544.00,11809.02,2038.00,198.20,10.20,13265.86,0.00,31.50
2019-02-20T17:00:00Z,2093.25,15419.40,14.50,1337.67,11527.52,2038.00,199.50,10.20,13552.03,0.00,31.50
2019-02-20T18:00:00Z,2056.50,15405.50,3.00,1289.33,11108.28,2038.00,200.70,10.20,13656.21,0.00,31.50
2019-02-20T19:00:00Z,2030.92,15411.50,0.50,1284.00,10972.35,2038.00,199.90,10.20,13512.11,0.00,31.50
2019-02-20T20:00:00Z,2044.00,15434.50,0.00,1262.00,10907.20,2038.00,199.30,10.20,13168.88,0.00,31.50
2019-02-20T21:00:00Z,2044.00,15264.50,0.00,1292.00,10898.70,2038.00,200.50,10.20,12932.20,0.00,31.50
2019-02-20T22:00:00Z,2024.00,15337.50,0.00,1298.40,10975.10,2038.00,193.30,10.20,12989.70,0.00,31.50
2019-02-20T23:00:00Z,2024.00,15046.25,0.00,1377.33,11377.27,2038.00,164.82,11.00,12794.94,0.00,31.50
2019-02-21T00:00:00Z,2024.00,15223.08,0.00,1772.17,11523.17,2038.00,140.82,11.00,12635.73,0.00,27.97
2019-02-21T01:00:00Z,2024.00,15216.50,0.00,1534.50,11260.60,2038.00,145.30,11.00,13401.87,0.00,21.10
2019-02-21T02:00:00Z,2029.33,15216.50,0.00,1528.00,10872.43,2038.00,145.30,11.00,14235.10,0.00,21.10
2019-02-21T03:00:00Z,2155.50,15216.50,0.00,1519.67,9854.27,2038.00,140.00,11.00,14824.07,0.00,21.10
2019-02-21T04:00:00Z,2151.75,15209.50,0.00,852.62,8376.19,2038.00,140.00,11.00,15077.23,0.00,25.68
2019-02-21T05:00:00Z,2146.50,15298.50,0.00,666.35,7940.93,2038.00,140.00,11.00,15198.98,0.00,26.10
