GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2019-03-08T06:00:00Z,4298.30,11274.80,0.00,548.53,8698.27,2036.00,140.04,11.00,14544.38,0.00,31.50
2019-03-08T07:00:00Z,4249.30,11265.80,0.00,550.20,8540.77,2036.00,140.00,11.00,14100.22,0.00,31.50
2019-03-08T08:00:00Z,4200.30,11265.80,0.00,550.20,8665.93,2036.00,140.00,11.00,13856.03,0.00,31.50
2019-03-08T09:00:00Z,4200.30,11265.80,0.00,550.20,8838.09,2036.00,140.03,11.00,14058.40,0.00,31.50
2019-03-08T10:00:00Z,4200.30,11266.80,0.00,550.20,9153.17,2036.00,140.01,11.00,13818.32,0.00,31.50
2019-03-08T11:00:00Z,4226.97,11194.80,0.00,661.20,9848.50,2036.00,140.00,11.00,13552.69,0.00,31.50
2019-03-08T12:00:00Z,4349.55,11212.80,0.00,1171.95,11520.43,2036.00,140.00,11.00,13176.92,0.00,31.50
2019-03-08T13:00:00Z,4353.30,11216.60,0.00,1330.37,11774.18,2036.00,140.25,11.00,12753.77,0.00,31.50
2019-03-08T14:00:00Z,4382.50,11212.85,0.00,1341.20,12050.00,2036.00,150.47,11.00,12439.35,0.00,31.50
2019-03-08T15:00:00Z,4382.50,11197.60,0.00,1332.70,12111.55,2036.00,168.32,9.50,11744.25,0.00,31.50
2019-03-08T16:00:00Z,4382.50,11197.60,0.00,1300.70,12089.10,2036.00,173.23,7.50,12076.14,0.00,31.50
2019-03-08T17:00:00Z,4379.00,11197.77,0.00,1288.20,11899.88,2036.00,175.13,9.92,12206.29,0.00,31.50
2019-03-08T18:00:00Z,4376.50,11191.60,0.00,1210.53,11162.48,2036.00,174.33,10.00,12710.29,0.00,31.50
2019-03-08T19:00:00Z,4376.50,11191.60,0.00,1227.37,10649.78,2036.00,175.48,10.00,13121.99,0.00,31.50
2019-03-08T20:00:00Z,4436.50,11191.60,0.00,1187.20,9700.07,2036.00,171.58,10.00,13639.21,0.00,31.50
2019-03-08T21:00:00Z,4466.30,11177.85,0.00,992.62,8731.44,2036.00,163.47,9.83,14379.53,0.00,31.50
2019-03-08T22:00:00Z,4466.30,11221.60,0.00,1013.20,7608.78,2036.00,158.93,10.00,14860.69,0.00,31.50
2019-03-08T23:00:00Z,4127.30,11540.60,0.00,1082.52,7086.12,2036.00,143.10,10.00,15640.14,0.00,31.50
2019-03-09T00:00:00Z,4134.30,11273.10,0.00,1215.67,6486.49,2036.00,140.28,10.00,16118.93,0.00,31.50
2019-03-09T01:00:00Z,4134.30,11105.10,0.00,1186.33,5938.92,2036.00,140.03,10.00,16390.18,0.00,31.50
2019-03-09T02:00:00Z,4134.30,10468.10,0.00,1140.50,5546.25,2036.00,140.00,10.00,16719.95,0.00,31.50
2019-03-09T03:00:00Z,3406.30,11492.85,0.00,1029.75,5064.08,2036.00,140.00,10.00,17122.34,0.00,31.50
2019-03-09T04:00:00Z,3406.30,11655.60,0.00,612.48,4426.33,2036.00,140.02,10.00,17352.55,0.00,31.50
2019-03-09T05:00:00Z,2756.30,12202.18,0.00,592.50,4606.52,2036.00,140.00,10.00,17378.62,0.00,31.50
