GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2019-06-05T05:00:00Z,5190.50,10555.70,0.00,1622.53,11147.78,2003.10,140.00,10.20,14888.28,0.00,31.50
2019-06-05T06:00:00Z,5190.50,10554.20,0.00,1621.20,10654.20,2003.10,140.00,10.20,14731.15,0.00,31.50
2019-06-05T07:00:00Z,5190.50,10553.28,0.00,1621.20,10612.95,2003.10,140.00,10.20,14656.22,0.00,31.50
2019-06-05T08:00:00Z,5190.50,10554.20,0.00,1627.87,10649.20,2003.10,140.00,10.20,14416.11,0.00,31.50
2019-06-05T09:00:00Z,5190.50,10717.20,0.00,1704.20,10897.07,2003.10,140.00,10.20,14084.45,0.00,31.50
2019-06-05T10:00:00Z,5190.50,10633.87,0.00,1779.20,11167.13,2003.10,140.00,10.20,13936.97,0.00,31.50
2019-06-05T11:00:00Z,5190.50,10727.80,0.00,1880.20,11628.85,2003.10,140.00,10.20,13520.29,0.00,31.50
2019-06-05T12:00:00Z,5190.50,10907.90,0.00,1888.18,12022.00,2003.10,142.74,10.20,12990.55,0.00,31.50
2019-06-05T13:00:00Z,5190.50,11001.90,0.00,1908.15,12718.08,2003.10,164.90,10.20,12350.39,0.00,31.50
2019-06-05T14:00:00Z,5190.50,11193.57,0.00,1907.40,13863.60,2003.10,177.50,10.20,12079.85,0.00,31.50
2019-06-05T15:00:00Z,5238.75,11236.90,0.00,1951.15,15364.37,2003.10,184.30,10.20,11808.05,0.00,31.50
2019-06-05T16:00:00Z,5229.40,11151.90,63.33,1926.90,16462.87,2003.10,186.99,10.20,11594.24,0.00,31.50
2019-06-05T17:00:00Z,5318.40,10980.99,183.77,1929.90,17091.91,2003.10,187.20,10.20,11443.76,0.00,31.50
2019-06-05T18:00:00Z,5349.73,11066.00,308.32,1955.15,17742.96,2003.10,188.20,10.20,11239.65,0.00,31.50
2019-06-05T19:00:00Z,4851.90,11189.70,357.40,1959.90,18207.38,2003.10,187.40,9.70,10839.93,0.00,31.50
2019-06-05T20:00:00Z,4851.90,11137.06,370.06,1990.07,18620.47,2003.10,176.03,9.37,10939.33,0.00,31.50
2019-06-05T21:00:00Z,4876.90,10978.56,362.22,1974.07,18728.58,2003.10,164.10,8.87,11057.58,0.00,31.50
2019-06-05T22:00:00Z,4951.90,10979.10,297.01,1953.73,18641.46,2003.10,157.09,8.53,11429.48,0.00,31.50
2019-06-05T23:00:00Z,4931.90,11146.50,71.70,1914.90,17990.13,2003.10,163.47,8.20,11397.58,0.00,31.50
2019-06-06T00:00:00Z,4911.90,11086.21,0.00,1908.90,16970.67,2003.10,158.80,9.37,11496.77,0.00,31.50
2019-06-06T01:00:00Z,4911.90,11172.40,0.00,1902.90,15909.23,2003.10,141.34,10.20,11916.83,0.00,31.50
2019-06-06T02:00:00Z,4935.32,11214.38,0.00,1892.90,15481.63,2003.10,140.00,8.60,11948.18,0.00,31.50
2019-06-06T03:00:00Z,5033.50,11412.80,0.00,1761.90,14101.57,2003.10,140.00,8.60,12261.11,0.00,31.50
2019-06-06T04:00:00Z,4999.50,11743.80,0.00,1748.30,13336.68,2003.10,140.00,8.60,11966.61,0.00,31.50
