MarketHour, CSWS, EDE, GRDA, INDN, KACY, KCPL, LES, MPS, NPPD, OKGE, OPPD, SECI, SPRM, SPS, WAUE, WFEC, WR
10/31/2019 06:00:00,4988.560,631.135,697.122,99.033,270.801,1708.844,343.546,958.631,1898.727,3687.717,1184.321,664.480,336.028,3891.576,3668.755,1137.049,3293.971
10/31/2019 07:00:00,4950.433,624.392,701.576,96.953,265.941,1679.573,337.413,950.334,1898.917,3643.817,1163.015,658.933,328.818,3859.044,3635.906,1131.355,3331.392
10/31/2019 08:00:00,4949.384,624.518,610.463,96.169,262.626,1672.675,338.263,945.472,1886.923,3638.355,1161.741,659.015,324.779,3854.618,3619.843,1138.263,3354.092
10/31/2019 09:00:00,5011.132,631.287,664.745,97.340,259.994,1682.137,342.171,943.268,1910.883,3627.495,1166.891,659.306,325.250,3858.989,3629.282,1151.114,3364.675
10/31/2019 10:00:00,5144.150,649.366,693.096,101.230,263.320,1732.714,352.931,974.626,1944.493,3718.534,1204.706,664.755,333.920,3869.641,3669.638,1172.964,3436.716
10/31/2019 11:00:00,5496.107,696.622,636.083,107.619,274.076,1846.439,384.237,1038.362,2037.846,3885.194,1286.747,681.469,357.844,3946.157,3768.407,1229.252,3610.582
10/31/2019 12:00:00,6058.642,760.974,663.502,116.131,298.997,2036.629,432.505,1130.043,2209.030,4181.930,1415.727,717.917,395.458,4100.507,3977.673,1301.900,3910.163
10/31/2019 13:00:00,6377.681,794.892,679.301,121.966,313.096,2157.423,463.947,1182.701,2327.636,4373.870,1499.110,751.972,424.223,4257.367,4140.524,1330.164,4021.680
10/31/2019 14:00:00,6375.417,797.427,680.694,122.867,313.933,2131.913,463.648,1173.249,2291.573,4316.251,1483.600,747.926,419.063,4236.184,4124.306,1271.387,4000.395
10/31/2019 15:00:00,6295.893,776.067,683.741,123.524,313.119,2089.314,453.358,1139.783,2235.252,4239.266,1466.732,720.972,426.544,4133.028,4055.697,1208.359,3911.736
10/31/2019 16:00:00,6114.719,744.579,679.104,122.958,309.684,2053.438,442.955,1112.497,2169.189,4127.406,1444.707,699.918,423.544,4030.653,3976.950,1145.666,3860.608
10/31/2019 17:00:00,5910.618,710.011,675.823,119.299,300.581,2006.812,427.601,1083.774,2063.455,3997.063,1416.349,693.870,405.138,3911.117,3925.766,1088.400,3813.778
10/31/2019 18:00:00,5638.859,680.503,661.133,111.980,296.250,1965.154,417.868,1058.588,2019.781,3863.756,1378.983,686.962,394.407,3773.229,3831.590,1057.141,3750.029
10/31/2019 19:00:00,5490.595,654.826,644.741,107.944,294.629,1922.056,409.666,1031.234,1990.791,3787.297,1353.418,683.273,385.723,3666.216,3775.135,983.648,3683.966
10/31/2019 20:00:00,5301.174,631.171,622.687,105.412,284.462,1871.097,397.479,1000.145,1965.734,3619.005,1331.495,673.454,374.854,3609.647,3791.765,940.107,3548.794
10/31/2019 21:00:00,5163.919,613.523,618.847,105.054,281.001,1839.420,387.216,988.597,1906.429,3518.256,1310.535,667.800,367.323,3543.917,3847.795,913.853,3484.734
10/31/2019 22:00:00,5118.957,608.671,612.927,108.320,270.558,1826.319,386.546,986.730,1898.388,3477.853,1307.205,655.281,364.367,3517.530,3866.628,904.542,3433.471
10/31/2019 23:00:00,5116.225,613.673,609.025,114.016,274.162,1832.916,387.289,994.931,1890.898,3439.229,1306.869,631.696,366.273,3491.986,3847.493,920.743,3402.211
11/01/2019 00:00:00,5295.267,644.987,616.835,120.053,279.928,1894.747,396.262,1030.006,1916.699,3516.787,1332.429,624.571,383.566,3492.852,3898.793,962.699,3474.085
11/01/2019 01:00:00,5592.747,677.636,629.172,120.595,287.325,1923.130,398.295,1059.236,1961.191,3689.028,1355.892,646.556,387.210,3602.812,3926.671,1049.483,3538.352
11/01/2019 02:00:00,5764.950,696.513,643.470,117.634,288.080,1907.540,393.916,1072.112,1965.377,3815.664,1350.655,643.202,383.619,3651.349,3888.326,1117.375,3571.825
11/01/2019 03:00:00,5833.242,705.336,643.882,113.691,282.312,1867.506,384.736,1055.379,1933.175,3894.920,1321.533,645.032,378.036,3679.032,3800.505,1153.850,3577.738
11/01/2019 04:00:00,5671.944,678.162,630.896,106.376,277.701,1781.201,360.212,1001.539,1849.434,3774.324,1251.526,639.799,359.057,3646.208,3669.984,1130.848,3448.321
11/01/2019 05:00:00,5480.652,656.346,691.160,99.459,265.656,1703.394,337.203,966.485,1779.891,3648.172,1188.092,628.165,342.542,3566.577,3554.244,1110.093,3329.623
