GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2018-08-18T05:00:00Z,4547.10,17521.13,0.00,1772.46,12029.73,1967.10,140.00,11.00,11099.45,0.00,31.50
2018-08-18T06:00:00Z,4545.10,17378.80,0.00,1656.93,11420.61,1967.10,140.00,11.00,10977.02,0.00,31.50
2018-08-18T07:00:00Z,4545.10,17650.80,0.00,1583.66,11428.56,1967.10,140.00,11.00,10865.30,0.00,31.50
2018-08-18T08:00:00Z,4547.10,17815.50,0.00,1581.52,11404.94,1967.10,140.00,11.00,10753.73,0.00,31.50
2018-08-18T09:00:00Z,4547.10,17849.50,0.00,1582.04,11395.28,1967.10,140.00,11.00,10792.42,0.00,31.50
2018-08-18T10:00:00Z,4547.10,17894.50,0.00,1733.94,11408.98,1967.10,140.01,11.00,10769.32,0.00,31.50
2018-08-18T11:00:00Z,4542.52,17787.50,0.00,1811.87,11463.09,1967.10,140.01,11.00,10789.47,0.00,31.50
2018-08-18T12:00:00Z,4542.10,17828.25,0.00,1937.06,11714.45,1967.10,140.38,11.00,10841.83,0.00,31.50
2018-08-18T13:00:00Z,4562.10,17847.50,0.00,2005.20,12024.65,1967.10,155.53,11.00,10649.72,0.00,31.50
2018-08-18T14:00:00Z,4562.10,17930.50,0.00,2121.18,12872.98,1967.10,178.20,11.00,10320.34,0.00,31.50
2018-08-18T15:00:00Z,4553.77,18050.50,0.00,2214.81,13845.37,1967.10,188.30,11.00,10650.91,0.00,31.50
2018-08-18T16:00:00Z,4509.47,18043.17,0.00,2268.10,14869.49,1967.10,193.70,11.00,10587.13,0.00,31.50
2018-08-18T17:00:00Z,4502.90,18022.17,0.00,2301.48,15261.53,1967.10,197.90,11.00,10454.16,0.00,31.50
2018-08-18T18:00:00Z,4347.90,17779.92,0.00,2329.08,15480.72,1967.10,196.40,11.00,10568.71,0.00,31.50
2018-08-18T19:00:00Z,4347.90,17681.90,0.00,2315.30,15634.86,1967.10,197.80,11.00,10619.41,0.00,31.50
2018-08-18T20:00:00Z,4402.90,17691.90,0.00,2545.30,15938.32,1967.10,196.30,11.00,10579.56,0.00,31.50
2018-08-18T21:00:00Z,5007.90,17691.90,0.00,2558.97,15916.28,1967.10,188.30,11.00,10847.35,0.00,31.50
2018-08-18T22:00:00Z,5011.65,17689.45,0.00,2447.30,15551.67,1967.10,179.85,11.00,11315.88,0.00,31.50
2018-08-18T23:00:00Z,5012.90,17682.10,0.00,2347.30,14959.23,1967.10,165.97,11.00,11175.23,0.00,31.50
2018-08-19T00:00:00Z,5012.90,17682.10,0.00,2351.30,13719.50,1967.10,149.44,11.00,11706.87,0.00,31.50
2018-08-19T01:00:00Z,4542.90,18107.93,0.00,2196.80,12351.03,1967.10,140.33,11.00,11977.08,0.00,31.50
2018-08-19T02:00:00Z,4542.90,17662.10,0.00,2076.53,11714.73,1967.10,140.00,11.00,12094.88,0.00,31.50
2018-08-19T03:00:00Z,4542.90,17650.70,0.00,1855.93,10390.93,1967.10,140.05,11.00,12256.46,0.00,29.38
2018-08-19T04:00:00Z,4542.90,17556.53,0.00,1604.44,9926.21,1967.10,140.00,11.00,12519.13,0.00,28.95
