GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2020-09-09T05:00:00Z,7168.31,6328.62,0.00,754.92,6192.04,2058.33,151.67,5.75,19686.99,0.00,46.48
2020-09-09T06:00:00Z,6361.90,5827.80,0.00,663.04,5482.51,1855.00,140.00,7.00,18141.33,0.00,42.90
2020-09-09T07:00:00Z,6361.90,5826.80,0.00,676.33,5460.39,1840.00,140.00,7.00,17914.60,0.00,42.90
2020-09-09T08:00:00Z,6361.90,5501.80,0.00,682.67,5461.16,1840.00,140.00,7.00,17821.51,0.00,42.90
2020-09-09T09:00:00Z,6191.90,5827.80,0.00,721.33,5466.88,1835.00,140.00,7.00,17893.88,0.00,42.90
2020-09-09T10:00:00Z,6446.90,5832.80,0.00,803.00,5468.89,1835.00,140.00,7.00,17935.93,0.00,42.90
2020-09-09T11:00:00Z,6616.90,6401.80,0.00,1237.67,5515.66,1835.00,140.00,7.00,18025.42,0.00,42.90
2020-09-09T12:00:00Z,6616.90,6409.80,0.00,1518.08,6156.42,1835.00,140.00,7.00,18114.48,0.00,42.90
2020-09-09T13:00:00Z,6616.90,6435.80,0.00,1641.50,6836.29,1835.00,140.15,7.00,17969.63,0.00,42.90
2020-09-09T14:00:00Z,6616.90,6398.80,0.00,1767.00,7338.69,1835.00,146.65,7.00,17813.09,0.00,42.90
2020-09-09T15:00:00Z,7156.57,5870.80,0.00,1811.00,7521.40,1835.00,155.10,7.00,17863.35,0.00,43.10
2020-09-09T16:00:00Z,7154.40,5341.63,0.00,1808.50,7704.78,1835.00,157.20,7.00,18008.87,0.00,43.10
2020-09-09T17:00:00Z,7294.90,5349.80,0.00,1811.00,7681.65,1835.00,159.30,7.00,17961.62,0.00,43.10
2020-09-09T18:00:00Z,7294.90,5348.80,0.00,1840.33,7697.16,1835.00,162.00,7.00,17885.42,0.00,41.43
2020-09-09T19:00:00Z,7294.90,5428.80,0.00,1810.00,8013.31,1835.00,164.20,7.00,17752.61,0.00,43.10
2020-09-09T20:00:00Z,7294.90,5427.80,7.50,1831.00,8112.83,1835.00,163.20,7.00,17686.66,0.00,43.10
2020-09-09T21:00:00Z,7294.90,5427.38,0.00,1831.00,8122.83,1835.00,160.30,7.00,17650.28,0.00,43.10
2020-09-09T22:00:00Z,7294.90,5217.90,0.00,1831.00,8137.44,1835.00,157.90,7.00,17558.24,0.00,43.10
2020-09-09T23:00:00Z,7294.90,5195.90,0.00,1831.00,7804.24,1835.00,151.30,7.00,17513.08,0.00,43.10
2020-09-10T00:00:00Z,7406.10,5216.70,0.00,1818.50,7807.52,1835.00,140.27,7.00,17668.11,0.00,43.10
2020-09-10T01:00:00Z,7406.10,5216.70,0.00,1814.50,7693.80,1835.00,140.00,7.00,17761.20,0.00,43.10
2020-09-10T02:00:00Z,7363.85,5347.37,0.00,1422.00,7290.73,1835.00,140.00,7.00,17715.34,0.00,42.90
2020-09-10T03:00:00Z,7305.10,5394.70,0.00,955.58,6999.13,1835.00,140.00,7.00,17613.47,0.00,42.90
2020-09-10T04:00:00Z,7305.10,5308.70,0.00,699.03,7042.50,1835.00,140.00,7.00,17463.14,0.00,42.90
