GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2020-11-20T06:00:00Z,8026.00,4135.10,18.00,451.98,4189.47,2034.00,140.10,11.00,20439.99,0.00,46.60
2020-11-20T07:00:00Z,8026.00,4421.10,18.00,441.94,3818.87,2034.00,140.00,11.00,20315.83,0.00,46.60
2020-11-20T08:00:00Z,8026.00,4506.10,18.00,430.78,4095.40,2034.00,140.00,11.00,19970.42,0.00,46.60
2020-11-20T09:00:00Z,8026.00,4506.10,18.00,437.91,4962.87,2034.00,140.00,11.00,20322.70,0.00,46.60
2020-11-20T10:00:00Z,8026.00,4506.10,18.00,437.32,5913.67,2034.00,140.00,11.00,20266.20,0.00,46.60
2020-11-20T11:00:00Z,8137.20,4562.40,18.00,445.33,6190.75,2034.00,140.00,11.00,20211.78,0.00,47.00
2020-11-20T12:00:00Z,8137.20,5109.90,18.00,1049.50,6602.74,2034.00,140.00,11.00,20224.52,0.00,47.00
2020-11-20T13:00:00Z,8476.20,4770.90,18.00,1230.47,7016.85,2034.00,140.60,11.00,19830.58,0.00,47.00
2020-11-20T14:00:00Z,9048.87,3945.23,5.84,1342.10,7218.73,2034.00,166.29,11.00,19340.62,0.00,47.00
2020-11-20T15:00:00Z,9000.20,4038.90,5.37,1518.53,7723.38,2034.00,193.40,11.00,18727.73,0.00,47.00
2020-11-20T16:00:00Z,9000.20,4655.57,0.00,1394.28,7958.92,2034.00,197.70,11.00,18622.32,0.00,47.00
2020-11-20T17:00:00Z,9000.20,5178.40,0.00,1130.80,8010.82,2034.00,196.80,11.00,18489.11,0.00,47.00
2020-11-20T18:00:00Z,9000.20,5252.23,1.34,1112.99,7859.52,2034.00,195.50,11.00,18260.47,0.00,47.00
2020-11-20T19:00:00Z,9048.87,5272.90,5.37,968.68,8223.72,2034.00,195.70,11.00,18147.33,0.00,47.00
2020-11-20T20:00:00Z,9881.37,4392.90,0.00,937.38,7935.51,2034.00,197.10,11.00,18107.51,0.00,47.00
2020-11-20T21:00:00Z,9868.20,4317.90,1.28,937.65,7977.19,2034.00,193.00,11.00,18120.27,0.00,47.00
2020-11-20T22:00:00Z,9868.20,4317.90,0.85,1128.29,7947.24,2034.00,173.00,11.00,18108.76,0.00,47.00
2020-11-20T23:00:00Z,9868.20,4334.82,0.00,1341.91,7784.10,2034.00,141.71,11.00,18192.54,0.00,47.00
2020-11-21T00:00:00Z,9868.20,4520.90,0.00,1258.96,7472.63,2034.00,140.00,11.00,18444.81,0.00,47.00
2020-11-21T01:00:00Z,9894.53,4500.90,0.00,1230.66,7085.62,2034.00,140.00,11.00,18551.18,0.00,47.00
2020-11-21T02:00:00Z,10229.20,4297.90,0.00,1113.13,6554.28,2034.00,140.00,11.00,18520.61,0.00,46.60
2020-11-21T03:00:00Z,10004.20,4297.90,0.00,1107.94,6465.18,2034.00,140.00,11.00,18599.23,0.00,46.60
2020-11-21T04:00:00Z,10229.20,4205.40,0.00,597.70,6455.80,2034.00,140.00,11.00,18589.98,0.00,36.60
2020-11-21T05:00:00Z,10229.20,4150.90,0.00,550.91,6510.20,2034.00,140.00,11.00,18430.93,0.00,36.60
